Name,Sweep (T1),,,
Date,06/19/2025,,,
Time,13:10:57,,,
Instrument,FPC1000 - 204582/002,,,
Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
52791878.1725888,-120.564208984375,,,
53468697.1235195,-120.715270996094,,,
54145516.0744501,-120.741455078125,,,
54822335.0253807,-120.536849975586,,,
55499153.9763113,-120.375717163086,,,
56175972.927242,-120.585830688477,,,
56852791.8781726,-120.733116149902,,,
57529610.8291032,-120.267723083496,,,
58206429.7800338,-120.508560180664,,,
58883248.7309645,-120.202514648438,,,
59560067.6818951,-120.131187438965,,,
60236886.6328257,-120.503494262695,,,
60913705.5837563,-120.407836914063,,,
61590524.534687,-120.384048461914,,,
62267343.4856176,-120.7685546875,,,
62944162.4365482,-120.062240600586,,,
63620981.3874788,-120.64860534668,,,
64297800.3384095,-120.544998168945,,,
64974619.2893401,-120.479965209961,,,
65651438.2402707,-120.495834350586,,,
66328257.1912014,-120.461647033691,,,
67005076.142132,-120.540084838867,,,
67681895.0930626,-120.904273986816,,,
68358714.0439932,-120.540664672852,,,
69035532.9949239,-120.628707885742,,,
69712351.9458545,-120.526916503906,,,
70389170.8967851,-120.450973510742,,,
71065989.8477157,-120.389869689941,,,
71742808.7986464,-120.561752319336,,,
72419627.749577,-120.275245666504,,,
73096446.7005076,-120.541625976563,,,
73773265.6514382,-120.174667358398,,,
74450084.6023689,-120.622482299805,,,
75126903.5532995,-120.717849731445,,,
75803722.5042301,-120.492736816406,,,
76480541.4551607,-120.437339782715,,,
77157360.4060914,-120.724266052246,,,
77834179.357022,-120.280601501465,,,
78510998.3079526,-120.178298950195,,,
79187817.2588832,-120.40803527832,,,
79864636.2098139,-120.448364257813,,,
80541455.1607445,-120.808715820313,,,
81218274.1116751,-120.121925354004,,,
81895093.0626058,-120.251609802246,,,
82571912.0135364,-120.403610229492,,,
83248730.964467,-120.50333404541,,,
83925549.9153976,-120.283935546875,,,
84602368.8663283,-120.370582580566,,,
85279187.8172589,-120.440841674805,,,
85956006.7681895,-120.524948120117,,,
86632825.7191201,-120.432151794434,,,
87309644.6700508,-120.413551330566,,,
87986463.6209814,-120.451194763184,,,
88663282.571912,-120.10466003418,,,
89340101.5228426,-120.249160766602,,,
90016920.4737733,-120.58975982666,,,
90693739.4247039,-120.092895507813,,,
91370558.3756345,-120.203712463379,,,
92047377.3265651,-120.435997009277,,,
92724196.2774958,-120.34342956543,,,
93401015.2284264,-120.221496582031,,,
94077834.179357,-120.539108276367,,,
94754653.1302876,-120.175155639648,,,
95431472.0812183,-120.392639160156,,,
96108291.0321489,-120.362182617188,,,
96785109.9830795,-120.493362426758,,,
97461928.9340101,-120.406639099121,,,
98138747.8849408,-120.469581604004,,,
98815566.8358714,-120.620216369629,,,
99492385.786802,-120.664039611816,,,
100169204.737733,-120.133811950684,,,
100846023.688663,-120.137649536133,,,
101522842.639594,-120.436645507813,,,
102199661.590525,-120.409530639648,,,
102876480.541455,-120.619247436523,,,
103553299.492386,-120.47900390625,,,
104230118.443316,-120.392227172852,,,
104906937.394247,-120.711303710938,,,
105583756.345178,-120.263778686523,,,
106260575.296108,-120.263038635254,,,
106937394.247039,-119.958862304688,,,
107614213.19797,-120.151161193848,,,
108291032.1489,-120.542442321777,,,
108967851.099831,-120.664268493652,,,
109644670.050761,-120.46834564209,,,
110321489.001692,-120.358871459961,,,
110998307.952623,-120.464012145996,,,
111675126.903553,-120.274978637695,,,
