Name,Sweep (T1),,,
Date,18/07/2025,,,
Time,18:46:45,,,
Instrument,FPC1000 - 101497/002,,,
Firmware Version,V1.10,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
15566835.8714044,-59.7037963867188,,,
16243654.822335,-60.5200881958008,,,
16920473.7732656,-59.1522827148438,,,
17597292.7241963,-60.0702857971191,,,
18274111.6751269,-60.361888885498,,,
18950930.6260575,-59.8027153015137,,,
19627749.5769882,-59.3883476257324,,,
20304568.5279188,-59.3747787475586,,,
20981387.4788494,-59.8820190429688,,,
21658206.42978,-59.3667678833008,,,
22335025.3807107,-59.5877456665039,,,
23011844.3316413,-59.5221328735352,,,
23688663.2825719,-59.1913223266602,,,
24365482.2335025,-59.7175331115723,,,
25042301.1844332,-60.2550048828125,,,
25719120.1353638,-59.6491889953613,,,
26395939.0862944,-59.957706451416,,,
27072758.037225,-59.3160362243652,,,
27749576.9881557,-59.2872772216797,,,
28426395.9390863,-59.6460647583008,,,
29103214.8900169,-59.6425933837891,,,
29780033.8409475,-60.1216011047363,,,
30456852.7918782,-60.0328025817871,,,
31133671.7428088,-58.9753837585449,,,
31810490.6937394,-59.3967514038086,,,
32487309.64467,-59.4191627502441,,,
33164128.5956007,-59.2426071166992,,,
33840947.5465313,-59.0362014770508,,,
34517766.4974619,-59.4186363220215,,,
35194585.4483926,-59.1387329101563,,,
35871404.3993232,-59.710090637207,,,
36548223.3502538,-59.4800834655762,,,
37225042.3011844,-60.3855361938477,,,
37901861.2521151,-59.183837890625,,,
38578680.2030457,-59.1171035766602,,,
39255499.1539763,-59.7083473205566,,,
39932318.1049069,-59.7889518737793,,,
40609137.0558376,-59.7489395141602,,,
41285956.0067682,-59.0223731994629,,,
41962774.9576988,-59.0622215270996,,,
42639593.9086294,-58.9892349243164,,,
43316412.8595601,-59.9223251342773,,,
43993231.8104907,-60.0943984985352,,,
44670050.7614213,-59.351936340332,,,
45346869.7123519,-59.6678314208984,,,
46023688.6632826,-59.8830642700195,,,
46700507.6142132,-58.7748718261719,,,
47377326.5651438,-59.4219436645508,,,
48054145.5160744,-59.0620765686035,,,
48730964.4670051,-59.6073417663574,,,
49407783.4179357,-58.8512229919434,,,
50084602.3688663,-59.5017471313477,,,
50761421.319797,-59.2258644104004,,,
51438240.2707276,-59.4831008911133,,,
52115059.2216582,-59.2764663696289,,,
52791878.1725888,-59.6919288635254,,,
53468697.1235195,-59.9050636291504,,,
54145516.0744501,-58.7294082641602,,,
54822335.0253807,-58.8089141845703,,,
55499153.9763113,-59.1595497131348,,,
56175972.927242,-59.2448806762695,,,
56852791.8781726,-59.564884185791,,,
57529610.8291032,-59.5814094543457,,,
58206429.7800338,-59.3042144775391,,,
58883248.7309645,-59.314525604248,,,
