"Channel 1!!!_x","Channel 1!!!_y"
1013,1.056178887,
1014,1.259290212,
1015,1.029097377,
1016,1.408238516,
1017,1.178045682,
1018,1.123882662,
1019,1.096801152,
1020,1.164504927,
1021,1.286371721,
1022,1.029097377,
1023,0.9343120924,
1024,1.205127192,
1025,1.218667947,
1026,1.110341907,
1027,1.381157006,
1028,1.002015867,
1029,1.191586437,
1030,1.245749457,
1031,1.164504927,
1032,1.137423417,
1033,1.164504927,
1034,1.367616251,
1035,1.015556622,
1036,1.232208702,
1037,1.286371721,
1038,1.408238516,
1039,0.8395268077,
1040,1.096801152,
1041,1.056178887,
1042,1.096801152,
1043,1.110341907,
1044,1.340534741,
1045,0.9749343573,
1046,1.042638132,
1047,1.340534741,
1048,0.9478528474,
1049,1.150964172,
1050,1.083260397,
1051,1.245749457,
1052,1.218667947,
1053,1.272830967,
1054,1.123882662,
1055,1.096801152,
1056,1.272830967,
1057,1.326993986,
1058,1.137423417,
1059,1.218667947,
1060,1.299912476,
1061,0.9613936024,
1062,0.9884751123,
1063,1.096801152,
1064,1.110341907,
1065,1.259290212,
1066,1.056178887,
1067,0.9207713375,
1068,1.178045682,
1069,1.313453231,
1070,1.029097377,
1071,1.205127192,
1072,0.9343120924,
1073,1.083260397,
1074,1.326993986,
1075,1.178045682,
1076,1.096801152,
1077,1.042638132,
1078,1.069719642,
1079,1.313453231,
1080,1.110341907,
1081,1.205127192,
1082,1.245749457,
1083,1.232208702,
1084,1.381157006,
1085,1.056178887,
1086,1.191586437,
1087,1.150964172,
1088,1.245749457,
1089,1.056178887,
1090,1.123882662,
1091,1.123882662,
1092,1.083260397,
1093,1.083260397,
1094,1.232208702,
1095,1.083260397,
1096,1.029097377,
1097,1.259290212,
1098,1.232208702,
1099,1.164504927,
1100,1.150964172,
1101,1.218667947,
1102,1.056178887,
1103,1.286371721,
1104,1.245749457,
1105,1.069719642,
1106,1.069719642,
1107,1.272830967,
1108,1.015556622,
1109,0.9613936024,
1110,1.029097377,
1111,1.123882662,
1112,1.340534741,
1113,1.096801152,
1114,1.205127192,
1115,1.137423417,
1116,1.272830967,
1117,1.448860781,
1118,1.069719642,
1119,1.286371721,
1120,1.150964172,
1121,1.232208702,
1122,0.8801490726,
1123,1.123882662,
1124,1.137423417,
1125,1.150964172,
1126,1.110341907,
1127,1.083260397,
1128,1.015556622,
1129,1.178045682,
1130,1.002015867,
1131,1.002015867,
1132,1.164504927,
1133,1.232208702,
1134,1.272830967,
1135,1.205127192,
1136,1.110341907,
1137,0.9884751123,
1138,1.056178887,
1139,1.002015867,
1140,1.137423417,
1141,1.381157006,
1142,1.029097377,
1143,1.448860781,
1144,1.245749457,
1145,1.299912476,
1146,1.150964172,
1147,1.205127192,
1148,1.272830967,
1149,1.205127192,
1150,1.205127192,
1151,1.150964172,
1152,1.042638132,
1153,1.503023801,
1154,1.191586437,
1155,1.083260397,
1156,1.191586437,
1157,1.205127192,
1158,1.178045682,
1159,1.069719642,
1160,1.069719642,
1161,1.340534741,
1162,1.042638132,
1163,1.354075496,
1164,1.259290212,
1165,1.042638132,
1166,1.259290212,
1167,1.164504927,
1168,1.150964172,
1169,0.8395268077,
1170,1.218667947,
1171,1.191586437,
1172,1.110341907,
