fit_power_watt,frequency_Hz
1.1767570698740983e-09,58429214.60730366
1.1767572882125168e-09,58829414.70735368
1.1767575074295897e-09,59229614.807403706
1.1767577275300488e-09,59629814.90745373
1.1767579485186307e-09,60030015.007503755
1.1767581704001349e-09,60430215.10755378
1.1767583931793703e-09,60830415.207603805
1.1767586168611935e-09,61230615.30765383
1.1767588414504765e-09,61630815.407703854
1.1767590669521432e-09,62031015.50775388
1.176759293371133e-09,62431215.6078039
1.1767595207124326e-09,62831415.70785393
1.1767597489810577e-09,63231615.80790395
1.1767599781820536e-09,63631815.90795398
1.1767602083205126e-09,64032016.00800401
1.1767604394015523e-09,64432216.108054034
1.176760671430318e-09,64832416.20810406
1.176760904412004e-09,65232616.308154084
1.1767611383518382e-09,65632816.40820411
1.1767613732550718e-09,66033016.50825413
1.17676160912701e-09,66433216.60830416
1.1767618459729863e-09,66833416.70835418
1.1767620837983633e-09,67233616.8084042
1.1767623226085515e-09,67633816.90845422
1.1767625624090047e-09,68034017.00850426
1.1767628032051868e-09,68434217.10855429
1.176763045002624e-09,68834417.2086043
1.1767632878068854e-09,69234617.30865434
1.1767635316235603e-09,69634817.40870436
1.1767637764582805e-09,70035017.50875439
1.1767640223167262e-09,70435217.6088044
1.1767642692046065e-09,70835417.70885444
1.1767645171276836e-09,71235617.80890445
1.1767647660917436e-09,71635817.90895449
1.1767650161026304e-09,72036018.0090045
1.1767652671662216e-09,72436218.10905454
1.1767655192884189e-09,72836418.20910455
1.176765772475201e-09,73236618.30915459
1.176766026732556e-09,73636818.4092046
1.1767662820665352e-09,74037018.50925463
1.176766538483223e-09,74437218.60930465
1.1767667959887475e-09,74837418.70935468
1.1767670545892751e-09,75237618.8094047
1.1767673142910349e-09,75637818.90945473
1.1767675751002796e-09,76038019.00950475
1.1767678370233159e-09,76438219.10955478
1.1767681000664975e-09,76838419.2096048
1.1767683642362173e-09,77238619.30965483
1.1767686295389165e-09,77638819.40970486
1.1767688959810786e-09,78039019.50975488
1.1767691635692461e-09,78439219.60980491
1.1767694323099945e-09,78839419.70985493
1.1767697022099476e-09,79239619.80990496
1.1767699732757871e-09,79639819.90995498
1.1767702455142425e-09,80040020.01000501
1.1767705189320725e-09,80440220.11005503
1.1767707935361128e-09,80840420.21010506
1.1767710693332133e-09,81240620.31015508
1.1767713463303206e-09,81640820.41020511
1.1767716245343858e-09,82041020.51025513
1.1767719039524417e-09,82441220.61030516
1.17677218459156e-09,82841420.71035518
1.1767724664588604e-09,83241620.81040521
1.1767727495615154e-09,83641820.91045523
1.1767730339067603e-09,84042021.01050526
1.1767733195018784e-09,84442221.11055528
1.1767736063541915e-09,84842421.21060531
1.1767738944711133e-09,85242621.31065533
1.1767741838600616e-09,85642821.41070536
1.176774474528551e-09,86043021.51075539
1.1767747664841247e-09,86443221.6108054
1.1767750597343982e-09,86843421.71085544
1.1767753542870402e-09,87243621.81090546
1.1767756501497673e-09,87643821.91095549
1.1767759473303537e-09,88044022.0110055
1.1767762458366461e-09,88444222.11105554
1.1767765456765394e-09,88844422.21110556
1.176776846857986e-09,89244622.31115559
1.176777149389006e-09,89644822.4112056
1.1767774532776624e-09,90045022.51125564
1.1767777585320957e-09,90445222.61130565
1.176778065160509e-09,90845422.71135569
1.1767783731711432e-09,91245622.8114057
1.1767786825723266e-09,91645822.91145574
1.176778993372445e-09,92046023.01150575
1.1767793055799372e-09,92446223.11155578
1.1767796192033094e-09,92846423.2116058
1.1767799342511449e-09,93246623.31165583
1.1767802507320795e-09,93646823.41170585
1.1767805686548077e-09,94047023.51175588
1.1767808880281096e-09,94447223.61180592
1.1767812088608143e-09,94847423.71185593
1.176781531161837e-09,95247623.81190597
1.1767818549401364e-09,95647823.91195598
1.1767821802047627e-09,96048024.01200601
1.1767825069648193e-09,96448224.11205603
1.1767828352295007e-09,96848424.21210606
1.17678316500804e-09,97248624.31215608
1.1767834963097668e-09,97648824.41220611
1.176783829144073e-09,98049024.51225613
1.1767841635204276e-09,98449224.61230616
1.1767844994483623e-09,98849424.71235618
1.1767848369375003e-09,99249624.81240621
1.1767851759975223e-09,99649824.91245623
1.1767855166382008e-09,100050025.01250626
1.1767858588693613e-09,100450225.11255628
1.176786202700925e-09,100850425.21260631
