fit_power_dBm,frequency_Hz
-59.29262337641227,175287643.82191098
-59.292619816275376,175687843.92196098
-59.292616232599336,176088044.022011
-59.29261262517624,176488244.12206104
-59.29260899379589,176888444.22211108
-59.29260533824573,177288644.32216108
-59.29260165831087,177688844.4222111
-59.29259795377402,178089044.52226114
-59.29259422441546,178489244.62231117
-59.29259047001301,178889444.72236118
-59.292586690342006,179289644.8224112
-59.29258288517525,179689844.92246124
-59.29257905428301,180090045.02251127
-59.292575197432924,180490245.1225613
-59.29257131439004,180890445.2226113
-59.29256740491672,181290645.32266134
-59.29256346877261,181690845.42271137
-59.29255950571468,182091045.5227614
-59.29255551549704,182491245.6228114
-59.29255149787107,182891445.72286144
-59.29254745258523,183291645.82291147
-59.29254337938515,183691845.9229615
-59.29253927801348,184092046.0230115
-59.29253514820992,184492246.12306154
-59.29253098971116,184892446.22311157
-59.29252680225083,185292646.3231616
-59.29252258555948,185692846.4232116
-59.29251833936449,186093046.52326164
-59.29251406339007,186493246.62331167
-59.29250975735721,186893446.7233617
-59.292505420983616,187293646.8234117
-59.29250105398368,187693846.92346174
-59.29249665606841,188094047.02351177
-59.29249222694541,188494247.1235618
-59.29248776631884,188894447.22361183
-59.292483273889324,189294647.32366183
-59.29247874935391,189694847.42371187
-59.29247419240606,190095047.5237619
-59.29246960273556,190495247.62381193
-59.29246498002848,190895447.72386193
-59.29246032396709,191295647.82391196
-59.29245563422989,191695847.923962
-59.29245091049144,192096048.02401203
-59.29244615242239,192496248.12406203
-59.2924413596894,192896448.22411206
-59.292436531955055,193296648.3241621
-59.29243166887784,193696848.42421213
-59.29242677011206,194097048.52426213
-59.29242183530779,194497248.62431216
-59.292416864110805,194897448.7243622
-59.292411856162516,195297648.82441223
-59.292406811099916,195697848.92446223
-59.2924017285555,196098049.02451226
-59.2923966081572,196498249.1245623
-59.29239144952834,196898449.22461233
-59.29238625228752,197298649.32466236
-59.29238101604861,197698849.42471236
-59.29237574042061,198099049.5247624
-59.29237042500763,198499249.62481242
-59.29236506940879,198899449.72486246
-59.29235967321815,199299649.82491246
-59.29235423602463,199699849.9249625
-59.292348757411936,200100050.02501252
-59.29234323695848,200500250.12506256
-59.29233767423731,200900450.22511256
-59.292332068816,201300650.3251626
-59.2923264202566,201700850.42521262
-59.292320728115506,202101050.52526265
-59.29231499194342,202501250.62531266
-59.29230921128525,202901450.7253627
-59.292303385679986,203301650.82541272
-59.29229751466065,203701850.92546275
-59.292291597754186,204102051.02551275
-59.29228563448136,204502251.1255628
-59.292279624356674,204902451.22561282
-59.292273566888255,205302651.32566285
-59.29226746157776,205702851.42571288
-59.292261307920285,206103051.5257629
-59.292255105404244,206503251.62581292
-59.292248853511275,206903451.72586295
-59.292242551716114,207303651.82591298
-59.2922361994865,207703851.92596298
-59.29222979628308,208104052.02601302
-59.29222334155925,208504252.12606305
-59.29221683476108,208904452.22611308
-59.29221027532716,209304652.32616308
-59.292203662688514,209704852.42621312
-59.292196996268466,210105052.52626315
-59.29219027548249,210505252.62631318
-59.292183499738115,210905452.72636318
-59.29217666843477,211305652.8264132
-59.292169780963675,211705852.92646325
-59.292162836707696,212106053.02651328
-59.29215583504118,212506253.12656328
-59.29214877532985,212906453.2266133
-59.29214165693067,213306653.32666335
-59.29213447919165,213706853.42671338
-59.29212724145174,214107053.5267634
-59.29211994304066,214507253.6268134
-59.292112583278744,214907453.72686344
-59.292105161476805,215307653.82691348
-59.29209767693594,215707853.9269635
-59.29209012894737,216108054.0270135
-59.29208251679233,216508254.12706354
-59.292074839741794,216908454.22711357
-59.292067097056396,217308654.3271636
-59.29205928798621,217708854.4272136
-59.29205141177058,218109054.52726364
-59.2920434676379,218509254.62731367
-59.2920354548055,218909454.7273637
-59.292027372479374,219309654.8274137
-59.292019219854026,219709854.92746374
-59.29201099611227,220110055.02751377
-59.29200270042501,220510255.1275638
-59.29199433195105,220910455.2276138
-59.29198588983686,221310655.32766384
-59.29197737321637,221710855.42771387
-59.29196878121075,222111055.5277639
-59.29196011292819,222511255.62781394
-59.291951367463646,222911455.72786394
-59.29194254389862,223311655.82791397
-59.291933641300936,223711855.927964
-59.291924658724454,224112056.02801403
-59.29191559520886,224512256.12806404
-59.29190644977938,224912456.22811407
-59.29189722144654,225312656.3281641
-59.291887909205876,225712856.42821413
-59.291878512037684,226113056.52826414
-59.29186902890673,226513256.62831417
-59.29185945876197,226913456.7283642
-59.291849800536255,227313656.82841423
-59.29184005314603,227713856.92846423
-59.29183021549106,228114057.02851427
-59.29182028645406,228514257.1285643
-59.291810264900455,228914457.22861433
-59.29180014967799,229314657.32866433
-59.291789939616436,229714857.42871436
-59.29177963352725,230115057.5287644
-59.291769230203215,230515257.62881443
-59.2917587284181,230915457.72886446
-59.2917481269263,231315657.82891446
-59.291737424462454,231715857.9289645
-59.29172661974108,232116058.02901453
-59.291715711456185,232516258.12906456
-59.29170469828089,232916458.22911456
-59.29169357886699,233316658.3291646
-59.291682351844585,233716858.42921463
-59.29167101582161,234117058.52926466
-59.29165956938347,234517258.62931466
-59.291648011092526,234917458.7293647
-59.29163633948772,235317658.82941473
-59.29162455308402,235717858.92946476
-59.29161265037207,236118059.02951476
-59.2916006298176,236518259.1295648
-59.29158848986099,236918459.22961482
-59.29157622891675,237318659.32966486
-59.291563845373005,237718859.42971486
-59.291551337590974,238119059.5297649
-59.29153870390441,238519259.62981492
-59.29152594261906,238919459.72986495
-59.291513052012114,239319659.829915
-59.29150003033159,239719859.929965
-59.291486875795776,240120060.03001502
-59.291473586592595,240520260.13006505
-59.29146016087899,240920460.2301151
-59.291446596780304,241320660.3301651
-59.29143289238961,241720860.43021512
-59.29141904576703,242121060.53026515
-59.29140505493909,242521260.63031518
-59.291390917897985,242921460.7303652
-59.29137663260088,243321660.83041522
-59.29136219696916,243721860.93046525
-59.29134760888769,244122061.03051528
-59.291332866204016,244522261.1305653
-59.291317966727625,244922461.23061532
-59.29130290822907,245322661.33066535
-59.2912876884392,245722861.43071538
-59.29127230504825,246123061.53076538
-59.29125675570503,246523261.63081542
-59.291241038015954,246923461.73086545
-59.291225149544196,247323661.83091548
-59.29120908780872,247723861.9309655
-59.291192850283274,248124062.03101552
-59.29117643439548,248524262.13106555
-59.291159837525754,248924462.23111558
-59.29114305700629,249324662.3311656
-59.29112609011998,249724862.4312156
-59.29110893409935,250125062.53126565
-59.291091586125376,250525262.63131568
-59.2910740433264,250925462.7313657
-59.291056302776894,251325662.8314157
-59.29103836149626,251725862.93146574
-59.2910202164476,252126063.03151578
-59.2910018645364,252526263.1315658
-59.29098330260925,252926463.2316158
-59.29096452745247,253326663.33166584
-59.29094553579076,253726863.43171588
-59.29092632428573,254127063.5317659
-59.29090688953444,254527263.6318159
-59.290887228067966,254927463.73186594
-59.29086733634978,255327663.83191597
-59.29084721077419,255727863.931966
-59.29082684766475,256128064.03201604
-59.29080624327255,256528264.13206604
-59.29078539377446,256928464.23211607
-59.29076429527148,257328664.3321661
-59.290742943786796,257728864.43221614
-59.29072133526399,258129064.53226614
-59.290699465565105,258529264.63231617
-59.29067733046866,258929464.7323662
-59.290654925667646,259329664.83241624
-59.29063224676741,259729864.93246624
-59.29060928928352,260130065.03251627
-59.290586048639575,260530265.1325663
-59.29056252016491,260930465.23261634
-59.290538699092274,261330665.33266634
-59.29051458055542,261730865.43271637
-59.290490159586625,262131065.5327664
-59.290465431114164,262531265.63281643
-59.29044038995967,262931465.73286644
-59.29041503083543,263331665.83291647
-59.29038934834164,263731865.9329665
-59.290363336963495,264132066.03301653
-59.29033699106828,264532266.13306653
-59.290310304902334,264932466.23311657
-59.2902832725879,265332666.3331666
-59.29025588811991,265732866.43321663
-59.29022814536268,266133066.53326666
-59.2902000380465,266533266.63331667
-59.29017155976406,266933466.7333667
-59.29014270396688,267333666.83341673
-59.2901134639615,267733866.93346676
-59.29008383290568,268134067.03351676
-59.29005380380437,268534267.1335668
-59.290023369505626,268934467.2336168
-59.28999252269638,269334667.33366686
-59.28996125589804,269734867.4337169
-59.28992956146202,270135067.5337669
-59.28989743156504,270535267.6338169
-59.28986485820438,270935467.73386693
-59.289831833192885,271335667.83391696
-59.28979834815385,271735867.933967
-59.289764394515764,272136068.034017
-59.28972996350682,272536268.13406706
-59.28969504614932,272936468.2341171
-59.289659633253805,273336668.3341671
-59.289623715413114,273736868.43421715
-59.289587282996095,274137068.5342671
-59.28955032614125,274537268.63431716
-59.28951283475007,274937468.7343672
-59.28947479848018,275337668.8344172
-59.289436206738245,275737868.93446726
-59.28939704867266,276138069.0345173
-59.28935731316595,276538269.1345673
-59.28931698882694,276938469.23461735
-59.289276063982626,277338669.3346673
-59.28923452666979,277738869.43471736
-59.28919236462632,278139069.5347674
-59.2891495652822,278539269.6348174
-59.28910611575024,278939469.73486745
-59.289062002816394,279339669.8349175
-59.28901721292979,279739869.9349675
-59.28897173219244,280140070.03501755
-59.288925546348445,280540270.1350675
-59.288878640772985,280940470.23511755
-59.28883100046079,281340670.3351676
-59.288782610014195,281740870.4352176
-59.28873345363084,282141070.53526765
-59.288683515090824,282541270.6353177
-59.288632777743416,282941470.7353677
-59.28858122449333,283341670.83541775
-59.288528837786345,283741870.9354678
-59.28847559959458,284142071.03551775
-59.288421491400996,284542271.1355678
-59.28836649418349,284942471.2356178
-59.28831058839829,285342671.33566785
-59.2882537539627,285742871.4357179
-59.28819597023723,286143071.5357679
-59.28813721600704,286543271.63581795
-59.288077469462536,286943471.735868
-59.288016708179384,287343671.83591795
-59.287954909097614,287743871.935968
-59.2878920484999,288144072.036018
-59.28782810198903,288544272.13606805
-59.28776304446441,288944472.2361181
-59.28769685009769,289344672.3361681
-59.28762949230728,289744872.43621814
-59.287560943731975,290145072.5362682
-59.28749117620337,290545272.6363182
-59.287420160717204,290945472.7363682
-59.287347867403504,291345672.8364182
-59.287274265495434,291745872.93646824
-59.28719932329691,292146073.0365183
-59.28712300814877,292546273.1365683
-59.287045286393536,292946473.23661834
-59.28696612333869,293346673.3366684
-59.28688548321834,293746873.4367184
-59.2868033291532,294147073.5367684
-59.28671962310887,294547273.6368184
-59.28663432585229,294947473.73686844
-59.286547396906194,295347673.8369185
-59.28645879450165,295747873.9369685
-59.286368475528384,296148074.03701854
-59.28627639548294,296548274.13706857
-59.28618250841444,296948474.2371186
-59.286086766867875,297348674.3371686
-59.28598912182487,297748874.4372186
-59.28588952264161,298149074.53726864
-59.28578791698395,298549274.6373187
-59.28568425075948,298949474.7373687
-59.28557846804639,299349674.83741874
-59.285470511018936,299749874.93746877
-59.285360319869426,300150075.0375188
-59.28524783272637,300550275.13756883
-59.28513298556875,300950475.2376188
-59.28501571213608,301350675.33766884
-59.28489594383408,301750875.43771887
-59.284773609635664,302151075.5377689
-59.28464863597708,302551275.63781893
-59.28452094664876,302951475.73786896
-59.2843904626808,303351675.837919
-59.2842571022225,303751875.937969
-59.28412078041584,304152076.038019
-59.283981409262466,304552276.13806903
-59.28383889748367,304952476.23811907
-59.283693150373225,305352676.3381691
-59.28354406964235,305752876.43821913
-59.28339155325658,306153076.53826916
-59.28323549526383,306553276.6383192
-59.283075785613335,306953476.7383692
-59.2829123099647,307353676.8384192
-59.2827449494866,307753876.93846923
-59.282573580644396,308154077.03851926
-59.282398074975994,308554277.1385693
-59.282218298855234,308954477.2386193
-59.28203411324194,309354677.33866936
-59.28184537341783,309754877.4387194
-59.28165192870736,310155077.5387694
-59.281453622182504,310555277.63881946
-59.281250290350386,310955477.7388694
-59.281041762822696,311355677.83891946
-59.28082786196562,311755877.9389695
-59.28060840252892,312156078.0390195
-59.280383191252874,312556278.13906956
-59.28015202645144,312956478.2391196
-59.27991469757003,313356678.3391696
-59.279670984716184,313756878.43921965
-59.27942065816114,314157078.5392696
-59.27916347781032,314557278.63931966
-59.278899192640424,314957478.7393697
-59.27862754010083,315357678.8394197
-59.278348245476636,315757878.93946975
-59.27806102121048,316158079.0395198
-59.277765566180264,316558279.1395698
-59.27746156492924,316958479.23961985
-59.27714868684514,317358679.3396699
-59.27682658528421,317758879.43971986
-59.27649489663623,318159079.5397699
-59.276153239325595,318559279.6398199
-59.275801212743815,318959479.73986995
-59.27543839610782,319359679.83992
-59.27506434723824,319759879.93997
-59.27467860125124,320160080.04002005
-59.274280669156916,320560280.1400701
-59.27387003635662,320960480.24012005
-59.2734461610309,321360680.3401701
-59.27300847240887,321760880.4402201
-59.27255636890918,322161080.54027015
-59.27208921614155,322561280.6403202
-59.27160634475706,322961480.7403702
-59.27110704813397,323361680.84042025
-59.27059057988485,323761880.9404703
-59.27005615116922,324162081.04052025
-59.269502927794214,324562281.1405703
-59.268930027084544,324962481.2406203
-59.2683365145004,325362681.34067035
-59.267721399980516,325762881.4407204
-59.26708363398464,326163081.5407704
-59.266422103207475,326563281.64082044
-59.265735625932855,326963481.7408705
-59.26502294699385,327363681.8409205
-59.2642827323008,327763881.9409705
-59.26351356289492,328164082.0410205
