fit_power_watt,frequency_Hz
1.1811122447229965e-09,163681840.92046025
1.181143004702302e-09,164082041.02051026
1.1811740848263538e-09,164482241.1205603
1.1812054895411398e-09,164882441.22061032
1.1812372233698666e-09,165282641.32066035
1.181269290914594e-09,165682841.42071036
1.1813016968578752e-09,166083041.5207604
1.1813344459644305e-09,166483241.62081042
1.1813675430829233e-09,166883441.72086045
1.1814009931476757e-09,167283641.82091045
1.1814348011805522e-09,167683841.9209605
1.1814689722927588e-09,168084042.02101052
1.18150351168681e-09,168484242.12106055
1.1815384246584383e-09,168884442.22111055
1.1815737165986334e-09,169284642.32116058
1.1816093929956898e-09,169684842.42121062
1.1816454594373025e-09,170085042.52126065
1.1816819216127454e-09,170485242.62131065
1.1817187853150762e-09,170885442.72136068
1.181756056443434e-09,171285642.82141072
1.1817937410053285e-09,171685842.92146075
1.1818318451190645e-09,172086043.02151078
1.1818703750161899e-09,172486243.12156078
1.181909337044005e-09,172886443.2216108
1.1819487376681286e-09,173286643.32166085
1.18198858347519e-09,173686843.42171088
1.1820288811755027e-09,174087043.52176088
1.182069637605878e-09,174487243.6218109
1.1821108597324702e-09,174887443.72186095
1.1821525546537424e-09,175287643.82191098
1.1821947296034471e-09,175687843.92196098
1.1822373919537506e-09,176088044.022011
1.1822805492183947e-09,176488244.12206104
1.182324209055967e-09,176888444.22211108
1.18236837927325e-09,177288644.32216108
1.1824130678286733e-09,177688844.4222111
1.1824582828358287e-09,178089044.52226114
1.1825040325671291e-09,178489244.62231117
1.1825503254575119e-09,178889444.72236118
1.1825971701082823e-09,179289644.8224112
1.1826445752910687e-09,179689844.92246124
1.1826925499518403e-09,180090045.02251127
1.1827411032150953e-09,180490245.1225613
1.1827902443881074e-09,180890445.2226113
1.1828399829653372e-09,181290645.32266134
1.1828903286329708e-09,181690845.42271137
1.1829412912735167e-09,182091045.5227614
1.1829928809706217e-09,182491245.6228114
1.1830451080139653e-09,182891445.72286144
1.1830979829043205e-09,183291645.82291147
1.1831515163587372e-09,183691845.9229615
1.1832057193159136e-09,184092046.0230115
1.183260602941661e-09,184492246.12306154
1.1833161786345973e-09,184892446.22311157
1.1833724580319504e-09,185292646.3231616
1.1834294530155427e-09,185692846.4232116
1.1834871757179942e-09,186093046.52326164
1.1835456385290482e-09,186493246.62331167
1.1836048541021037e-09,186893446.7233617
1.183664835360969e-09,187293646.8234117
1.1837255955067732e-09,187693846.92346174
1.1837871480251289e-09,188094047.02351177
1.1838495066934635e-09,188494247.1235618
1.1839126855886058e-09,188894447.22361183
1.1839766990945967e-09,189294647.32366183
1.1840415619107255e-09,189694847.42371187
1.1841072890598103e-09,190095047.5237619
1.1841738958967543e-09,190495247.62381193
1.1842413981173415e-09,190895447.72386193
1.1843098117673272e-09,191295647.82391196
1.184379153251766e-09,191695847.923962
1.1844494393447112e-09,192096048.02401203
1.1845206871991143e-09,192496248.12406203
1.184592914357137e-09,192896448.22411206
1.18466613876071e-09,193296648.3241621
1.1847403787624876e-09,193696848.42421213
1.184815653137084e-09,194097048.52426213
1.184891981092746e-09,194497248.62431216
1.1849693822833357e-09,194897448.7243622
1.1850478768207512e-09,195297648.82441223
1.1851274852877142e-09,195697848.92446223
1.1852082287509606e-09,196098049.02451226
1.1852901287749314e-09,196498249.1245623
1.1853732074358518e-09,196898449.22461233
1.1854574873362774e-09,197298649.32466236
1.1855429916201566e-09,197698849.42471236
1.1856297439883783e-09,198099049.5247624
1.1857177687148108e-09,198499249.62481242
1.1858070906629488e-09,198899449.72486246
1.185897735303049e-09,199299649.82491246
1.1859897287298784e-09,199699849.9249625
1.1860830976810747e-09,200100050.02501252
1.1861778695561518e-09,200500250.12506256
1.1862740724360796e-09,200900450.22511256
1.1863717351036491e-09,201300650.3251626
1.1864708870644578e-09,201700850.42521262
1.1865715585686825e-09,202101050.52526265
1.1866737806335634e-09,202501250.62531266
1.1867775850667417e-09,202901450.7253627
1.1868830044903812e-09,203301650.82541272
1.1869900723661356e-09,203701850.92546275
1.1870988230210546e-09,204102051.02551275
1.187209291674375e-09,204502251.1255628
1.1873215144653163e-09,204902451.22561282
1.1874355284818443e-09,205302651.32566285
1.1875513717905129e-09,205702851.42571288
1.1876690834673889e-09,206103051.5257629
1.1877887036300998e-09,206503251.62581292
1.1879102734710941e-09,206903451.72586295
1.1880338352921049e-09,207303651.82591298
1.1881594325399355e-09,207703851.92596298
1.1882871098435491e-09,208104052.02601302
1.1884169130525928e-09,208504252.12606305
1.18854888927735e-09,208904452.22611308
1.1886830869302337e-09,209304652.32616308
1.1888195557688663e-09,209704852.42621312
1.1889583469408213e-09,210105052.52626315
1.1890995130300635e-09,210505252.62631318
1.189243108105251e-09,210905452.72636318
1.189389187769858e-09,211305652.8264132
1.1895378092143329e-09,211705852.92646325
1.1896890312702517e-09,212106053.02651328
1.1898429144666837e-09,212506253.12656328
1.1899995210887353e-09,212906453.2266133
1.1901589152385233e-09,213306653.32666335
1.190321162898531e-09,213706853.42671338
1.190486331997581e-09,214107053.5267634
1.190654492479456e-09,214507253.6268134
1.1908257163744009e-09,214907453.72686344
1.1910000778734777e-09,215307653.82691348
1.1911776534060552e-09,215707853.9269635
1.1913585217205457e-09,216108054.0270135
1.191542763968439e-09,216508254.12706354
1.1917304637919702e-09,216908454.22711357
1.1919217074154276e-09,217308654.3271636
1.1921165837403741e-09,217708854.4272136
1.1923151844449492e-09,218109054.52726364
