"Channel 1!!!_x","Channel 1!!!_y"
250,3.190847438,
251,3.131513498,
252,3.283144678,
253,3.131513498,
254,3.309515318,
255,3.078772219,
256,3.276552018,
257,3.210625418,
258,3.316107978,
259,3.250181378,
260,3.316107978,
261,3.441368518,
262,2.993067639,
263,3.401812558,
264,3.250181378,
265,3.138106158,
266,3.540258418,
267,3.269959358,
268,3.210625418,
269,3.362256598,
270,3.474331818,
271,3.256774038,
272,3.184254778,
273,3.118328178,
274,3.230403398,
275,3.316107978,
276,3.349071278,
277,3.368849258,
278,3.520480438,
279,3.236996058,
280,3.144698818,
281,3.362256598,
282,3.375441918,
283,3.118328178,
284,3.085364879,
285,3.217218078,
286,3.210625418,
287,3.375441918,
288,3.329293298,
289,3.230403398,
290,3.250181378,
291,3.283144678,
292,3.296329998,
293,3.428183198,
294,3.184254778,
295,2.900770399,
296,3.124920838,
297,3.269959358,
298,3.177662118,
299,3.368849258,
300,3.533665758,
301,3.395219898,
302,3.375441918,
303,3.111735519,
304,3.283144678,
305,3.382034578,
306,3.382034578,
307,3.480924478,
308,3.395219898,
309,3.322700638,
310,3.368849258,
311,3.441368518,
312,2.867807099,
313,3.105142859,
314,3.223810738,
315,3.421590538,
316,3.500702458,
317,3.217218078,
318,3.098550199,
319,3.322700638,
320,3.078772219,
321,3.269959358,
322,3.250181378,
323,3.157884138,
324,3.171069458,
325,3.652333638,
326,3.724852898,
327,3.171069458,
328,3.118328178,
329,3.329293298,
330,3.342478618,
331,3.210625418,
332,3.065586899,
333,3.151291478,
334,3.243588718,
335,3.283144678,
336,3.316107978,
337,3.184254778,
338,3.421590538,
339,3.487517138,
340,3.144698818,
341,3.414997878,
342,3.098550199,
343,3.349071278,
344,3.401812558,
345,3.368849258,
346,3.586407038,
347,3.124920838,
348,3.388627238,
349,3.124920838,
350,3.164476798,
351,3.197440098,
352,3.197440098,
353,3.520480438,
354,3.309515318,
355,3.283144678,
356,3.058994239,
357,3.296329998,
358,3.434775858,
359,3.111735519,
360,3.263366698,
361,3.335885958,
362,3.533665758,
363,3.454553838,
364,3.494109798,
365,3.098550199,
