fit_power_dBm,frequency_Hz
-55.24589304248369,181290645.32266134
-55.161175948656776,181690845.42271137
-55.07437310284888,182091045.5227614
-54.98544753146938,182491245.6228114
-54.894363921505864,182891445.72286144
-54.80108894196106,183291645.82291147
-54.70559159645595,183691845.9229615
-54.60784360890375,184092046.0230115
-54.507819844121265,184492246.12306154
-54.40549876516968,184892446.22311157
-54.300862929098535,185292646.3231616
-54.193899522596716,185692846.4232116
-54.08460093882441,186093046.52326164
-53.972965396400134,186493246.62331167
-53.858997601137425,186893446.7233617
-53.742709450656164,187293646.8234117
-53.62412078142265,187693846.92346174
-53.503260157089386,188094047.02351177
-53.38016569619998,188494247.1235618
-53.25488593638582,188894447.22361183
-53.12748073110196,189294647.32366183
-52.99802217372212,189694847.42371187
-52.86659554243414,190095047.5237619
-52.73330025784744,190495247.62381193
-52.598250843547966,190895447.72386193
-52.46157787802553,191295647.82391196
-52.32342892447089,191695847.923962
-52.18396942292364,192096048.02401203
-52.043383527183785,192496248.12406203
-51.90187486682791,192896448.22411206
-51.759667212656694,193296648.3241621
-51.617005022015576,193696848.42421213
-51.474153838763954,194097048.52426213
-51.331400521315175,194497248.62431216
-51.18905327124337,194897448.7243622
-51.04744143456832,195297648.82441223
-50.90691504811258,195697848.92446223
-50.76784410439717,196098049.02451226
-50.630617510522676,196498249.1245623
-50.49564171947473,196898449.22461233
-50.36333901638094,197298649.32466236
-50.234145447481104,197698849.42471236
-50.10850838596684,198099049.5247624
-49.9868837363616,198499249.62481242
-49.8697327876523,198899449.72486246
-49.75751873479042,199299649.82491246
-49.650702898224836,199699849.9249625
-49.54974068152003,200100050.02501252
-49.45507731749382,200500250.12506256
-49.36714346327442,200900450.22511256
-49.2863507137835,201300650.3251626
-49.21308711094342,201700850.42521262
-49.14771273193329,202101050.52526265
-49.0905554436698,202501250.62531266
-49.04190691201738,202901450.7253627
-49.00201895278526,203301650.82541272
-48.97110030721016,203701850.92546275
-48.949313917350764,204102051.02551275
-48.93677476677629,204502251.1255628
-48.93354833940644,204902451.22561282
-48.93964973477698,205302651.32566285
-48.95504346190489,205702851.42571288
-48.9796439169388,206103051.5257629
-49.01331653258174,206503251.62581292
-49.05587957055963,206903451.72586295
-49.10710651284113,207303651.82591298
-49.16672899349212,207703851.92596298
-49.23444020146711,208104052.02601302
-49.309898675672606,208504252.12606305
-49.392732407516206,208904452.22611308
-49.48254316296307,209304652.32616308
-49.57891093580328,209704852.42621312
-49.681398446202245,210105052.52626315
-49.78955560336934,210505252.62631318
-49.90292385796125,210905452.72636318
-50.02104037820639,211305652.8264132
-50.14344199323985,211705852.92646325
-50.269668857320596,212106053.02651328
-50.39926779903393,212506253.12656328
-50.531795329874,212906453.2266133
-50.66682029642382,213306653.32666335
-50.80392616943497,213706853.42671338
-50.942712971256825,214107053.5267634
-51.08279885014177,214507253.6268134
-51.223821315887456,214907453.72686344
-51.36543815605103,215307653.82691348
-51.507328055614465,215707853.9269635
-51.64919094555765,216108054.0270135
-51.79074810740178,216508254.12706354
-51.931742061528496,216908454.22711357
-52.07193626708278,217308654.3271636
-52.211114660652576,217708854.4272136
-52.349081059807865,218109054.52726364
-52.48565845609207,218509254.62731367
-52.62068822029339,218909454.7273637
-52.7540292408782,219309654.8274137
-52.88555701442302,219709854.92746374
-53.01516270480471,220110055.02751377
-53.142752185855564,220510255.1275638
-53.2682450802055,220910455.2276138
-53.39157380514932,221310655.32766384
-53.51268263461843,221710855.42771387
-53.631526784717494,222111055.5277639
-53.74807152881647,222511255.62781394
-53.86229134687028,222911455.72786394
-53.974169112470506,223311655.82791397
-54.0836953201106,223711855.927964
-54.19086735426219,224112056.02801403
-54.295688801103616,224512256.12806404
-54.39816880310516,224912456.22811407
-54.4983214561457,225312656.3281641
-54.59616524840339,225712856.42821413
-54.69172253991575,226113056.52826414
-54.785019081434456,226513256.62831417
-54.876083570994005,226913456.7283642
-54.96494724646601,227313656.82841423
-55.05164351227007,227713856.92846423
-55.13620759835313,228114057.02851427
-55.218676249523824,228514257.1285643
-55.29908744323088,228914457.22861433
-55.37748013389962,229314657.32866433
-55.45389402198393,229714857.42871436
-55.52836934594797,230115057.5287644
-55.600946695459626,230515257.62881443
-55.67166684415284,230915457.72886446
-55.74057060039653,231315657.82891446
-55.80769867459128,231715857.9289645
-55.87309156159996,232116058.02901453
-55.93678943700371,232516258.12906456
-55.99883206595865,232916458.22911456
-56.05925872351112,233316658.3291646
-56.118108125308694,233716858.42921463
-56.17541836772118,234117058.52926466
-56.231226876458805,234517258.62931466
-56.28557036284472,234917458.7293647
-56.338484786964486,235317658.82941473
-56.39000532697749,235717858.92946476
-56.44016635393327,236118059.02951476
-56.48900141149014,236518259.1295648
-56.53654319998399,236918459.22961482
-56.58282356434237,237318659.32966486
-56.62787348538249,237718859.42971486
-56.671723074071735,238119059.5297649
-56.71440156836682,238519259.62981492
-56.75593733228145,238919459.72986495
-56.796357856863786,239319659.829915
-56.83568976279372,239719859.929965
-56.873958804335956,240120060.03001502
-56.91118987440884,240520260.13006505
-56.94740701055069,240920460.2301151
-56.98263340158481,241320660.3301651
-57.01689139480246,241720860.43021512
-57.050202503499,242121060.53026515
-57.08258741471319,242521260.63031518
-57.11406599703222,242921460.7303652
